aircraft delay1 delay2 delay3 delay4 delay5
427 463 363 708 2069 713 
428 367 372 822 2247 937 
429 68 78 3 9 8 
430 478 398 718 178 343 
431 429 354 119 89 314 
432 6 4 4 4 4 
433 64 79 149 95 174 
434 489 364 754 2190 724 
436 10 10 30 35 35 
437 9 9 9 9 9 
438 5 5 5 5 5 
439 72 77 32 3 2 
440 13 13 3 3 3 
442 493 373 803 2239 883 
443 14 14 14 4 4 
444 18 18 3 8 8 
445 0 0 0 0 0 
446 65 75 5 6 5 
447 447 325 515 1145 725 
448 515 380 860 2241 930 
449 4 4 4 4 4 
450 14 14 4 4 4 
451 36 39 89 89 84 
452 3 3 3 3 3 
453 99 74 4 10 9 
454 37 40 10 15 10 
455 131 96 16 27 26 
456 308 318 3 58 118 
457 24 14 19 14 9 
458 379 399 344 104 89 
460 13 13 3 3 3 
461 1 1 1 1 1 
463 432 387 107 132 307 
464 379 399 874 2224 1229 
465 490 338 693 1148 853 
466 326 341 1 46 141 
467 63 73 33 4 3 
470 378 393 353 1103 868 
471 467 392 512 172 312 
472 464 419 689 174 259 
473 83 93 23 4 3 
474 4 4 4 4 4 
475 41 49 9 9 9 
476 12 12 17 17 17 
477 91 96 56 12 11 
478 54 69 4 0 4 
479 6 6 6 6 6 
480 11 11 16 11 11 
481 385 395 575 130 200 
482 44 57 12 2 2 
483 11 14 19 74 44 
485 87 117 67 13 12 
486 0 0 0 0 0 
487 40 58 13 8 8 
488 16 14 4 9 9 
489 15 10 3 3 3 
490 406 396 606 171 266 
491 11 11 1 11 11 
493 335 355 310 80 130 
494 23 21 66 76 71 
495 27 30 35 0 0 
496 32 35 75 85 75 
501 338 363 693 2178 708 
502 342 367 342 82 132 
503 154 124 9 20 24 
504 68 88 133 114 173 
505 0 0 0 0 0 
506 0 0 0 0 0 
507 374 399 349 1079 854 
508 387 392 7 37 97 
509 529 382 712 1132 862 
512 350 380 725 2175 815 
513 47 55 5 0 0 
514 354 384 334 1109 874 
516 50 58 123 563 573 
517 50 60 30 1 0 
518 7 7 2 2 2 
519 225 128 193 18 18 
520 538 453 163 143 403 
521 4 4 4 4 4 
522 428 448 13 53 183 
523 369 389 749 2184 844 
524 549 409 879 2200 1189 
525 0 0 0 0 0 
526 88 93 178 149 218 
527 59 74 49 10 9 
530 0 0 0 0 0 
532 466 446 711 586 271 
533 226 139 204 19 29 
534 364 394 849 2219 909 
536 0 0 0 0 0 
537 41 59 4 14 14 
538 4 4 4 4 4 
539 494 404 754 174 304 
540 506 466 826 556 831 
541 84 119 179 140 209 
543 3 3 3 3 3 
544 442 462 412 82 182 
546 370 400 485 55 165 
547 513 468 868 568 833 
548 504 424 129 144 389 
549 55 53 23 3 3 
550 3 3 3 3 8 
551 5 5 5 5 5 
552 429 459 19 39 194 
553 520 435 550 205 350 
554 530 440 800 175 390 
555 8 13 3 8 8 
557 145 98 168 8 3 
558 56 54 4 4 4 
559 372 392 527 77 187 
560 574 454 929 2200 1194 
562 0 0 0 0 0 
563 3 3 14 14 14 
564 11 11 3 3 3 
566 79 109 174 125 194 
567 58 56 1 6 6 
568 6 6 11 6 11 
569 422 462 872 2347 1207 
570 571 476 796 151 366 
571 627 467 977 2353 1202 
572 98 128 8 4 8 
573 18 13 10 10 10 
574 49 47 137 552 572 
575 0 0 0 0 0 
576 44 42 7 7 7 
577 0 0 8 8 3 
578 5 10 3 3 8 
579 53 51 1 1 1 
580 4 4 4 4 4 
582 376 396 356 96 121 
583 380 400 370 1060 835 
584 58 56 266 561 876 
585 4 4 4 4 4 
586 252 120 240 40 75 
587 458 468 428 103 183 
588 395 410 400 1460 835 
589 4 4 2 2 2 
590 0 0 5 5 5 
591 5 5 0 0 0 
592 399 414 564 94 179 
593 659 474 1024 2425 1199 
595 7 7 7 2 2 
596 407 427 402 102 127 
598 412 432 2 32 142 
599 444 474 4 4 189 
600 413 443 3 43 143 
601 7 7 7 7 7 
602 0 0 0 0 0 
605 648 478 988 2349 1193 
606 415 450 0 40 170 
607 5 5 5 0 0 
608 5 5 0 10 10 
609 81 111 181 127 201 
610 8 8 8 3 3 
611 121 141 71 2 1 
612 84 114 4 0 4 
613 47 50 5 5 10 
614 57 55 10 10 15 
616 52 50 0 0 5 
618 57 60 190 0 10 
619 0 0 0 0 0 
620 447 472 2 42 177 
621 4 4 4 9 9 
622 449 474 419 114 189 
623 414 449 394 1439 814 
624 419 454 604 89 174 
625 5 5 5 0 0 
626 101 131 186 152 211 
627 105 140 55 1 5 
628 3 3 3 3 3 
629 163 128 3 9 3 
630 0 0 0 0 0 
631 4 4 4 4 4 
632 0 0 0 0 0 
633 3 3 3 3 3 
634 425 455 385 85 165 
635 57 60 0 5 0 
636 628 461 851 1436 866 
637 42 40 170 5 5 
639 458 468 918 2378 1163 
640 5 5 0 0 0 
641 42 45 0 5 5 
642 60 63 8 13 18 
643 0 0 2 2 2 
645 45 48 3 38 8 
646 2 2 2 2 2 
647 91 126 56 2 1 
648 51 59 224 554 819 
649 212 130 210 20 20 
650 442 462 902 2342 1192 
651 630 490 820 115 335 
652 2 2 7 7 7 
653 4 4 1 1 1 
654 6 6 1 1 1 
655 638 498 213 123 348 
656 56 59 4 4 9 
657 2 2 2 2 2 
658 661 516 236 126 371 
659 222 135 225 20 40 
660 5 5 2 2 2 
661 6 6 6 6 6 
662 683 471 886 1451 836 
663 133 143 78 4 8 
664 53 56 6 6 11 
665 4 4 4 4 4 
666 668 488 1018 2369 1153 
667 3 3 3 8 3 
669 6 6 6 6 6 
672 12 7 7 2 7 
673 727 475 1035 1465 3175 
674 4 4 4 4 4 
675 70 63 3 3 28 
676 50 58 3 8 18 
678 85 78 38 8 43 
679 82 70 10 30 35 
680 488 493 633 43 193 
681 14 9 4 9 9 
683 0 0 0 0 0 
685 5 5 2 2 2 
686 581 481 636 126 326 
687 456 476 401 1421 836 
688 0 0 0 0 0 
689 22 22 17 17 17 
690 694 514 1019 2410 1174 
691 478 488 968 2363 1153 
692 102 112 42 3 2 
693 52 55 210 525 865 
694 110 120 50 6 5 
695 0 0 0 0 0 
696 175 135 5 11 15 
697 88 86 26 96 46 
698 0 0 0 0 0 
699 82 90 0 30 35 
700 8 8 9 8 8 
701 4 4 4 4 4 
702 7 7 2 12 12 
703 108 118 68 4 8 
704 112 132 7 23 22 
705 449 474 404 1459 829 
706 0 0 0 0 0 
707 56 59 4 4 14 
708 681 511 946 126 431 
709 612 507 157 92 312 
710 7 7 12 2 2 
711 94 92 222 12 47 
713 8 13 13 3 3 
714 91 89 34 9 44 
715 542 512 932 672 932 
716 0 0 5 0 0 
717 5 5 0 5 5 
718 749 512 1017 1437 3147 
719 481 536 416 36 196 
720 0 0 0 0 0 
722 3 3 3 3 3 
723 7 7 7 7 7 
724 707 522 957 117 442 
725 10 10 10 10 10 
726 549 514 989 669 929 
727 664 509 209 114 364 
728 459 469 4 34 174 
730 86 124 29 4 39 
731 62 60 250 705 895 
732 665 545 1045 715 1350 
733 64 67 10 10 15 
734 723 543 1003 123 443 
735 0 0 0 0 0 
736 678 508 918 118 413 
739 676 474 894 1449 854 
740 681 479 984 1454 3164 
741 70 73 13 78 18 
742 74 82 22 82 27 
743 472 487 2 27 172 
744 104 142 12 137 42 
745 715 565 1110 730 1350 
746 0 0 0 0 0 
747 331 179 379 9 49 
748 467 517 1002 2382 1202 
749 0 0 0 0 0 
750 2 2 2 2 2 
751 632 532 1032 727 1357 
752 6 6 6 11 6 
753 0 0 0 0 0 
754 476 486 986 2361 1156 
755 4 9 24 24 24 
756 707 517 987 2378 1202 
757 127 165 20 10 55 
758 733 558 238 143 443 
759 309 152 267 7 42 
760 0 0 0 0 0 
761 477 502 2 37 212 
762 127 127 2 3 2 
763 467 517 397 32 167 
764 730 533 1013 1413 3118 
766 13 13 3 8 8 
767 18 18 23 23 23 
768 82 115 15 140 35 
769 126 126 56 2 6 
770 5 5 0 0 0 
771 123 153 263 89 263 
772 93 131 4 24 56 
775 101 139 269 714 1169 
776 21 21 21 21 21 
777 120 153 3 138 43 
778 101 139 249 4 39 
779 0 0 0 0 0 
780 5 5 5 5 5 
781 107 150 265 15 50 
782 0 0 0 0 0 
783 0 0 0 0 0 
784 2 2 7 7 7 
785 261 156 21 147 51 
786 723 573 1163 733 1348 
787 347 175 350 15 55 
788 472 507 397 52 167 
789 0 0 0 0 0 
790 10 10 0 0 0 
791 115 153 328 1158 1193 
792 250 160 15 156 50 
793 123 161 346 1186 1196 
794 0 0 0 0 0 
795 120 145 5 6 5 
796 0 0 0 0 0 
797 830 635 1190 1155 3115 
798 809 589 319 119 519 
799 814 594 334 134 569 
800 499 579 654 84 209 
801 715 550 750 100 430 
802 8 8 8 8 3 
803 469 509 454 1409 3124 
805 539 624 449 24 159 
806 11 11 16 16 16 
807 0 0 0 0 0 
808 125 163 38 13 53 
809 4 4 9 9 4 
810 485 560 1050 2465 1395 
811 5 5 5 5 5 
812 136 159 24 14 39 
